# datafile_num	half-hour-slot	programme_name
0	44	Japanese News
0	36	The Simpsons
0	30	Knowledge is the Beginning: Daniel Barenboim and the West-Eastern Divan Orchestra
0	43	All Saints
0	8	The Handler
0	12	Chinese News
0	23	Fresh Cooking with the Australian Women's Weekly
0	31	German News
0	47	The First 48
0	29	Berlioz's Trip
0	38	Futurama
0	40	Collectors
0	21	Dive Olly Dive!
0	14	Toasted TV
0	31	The Future Is Wild
0	0	The Up-Late Gameshow
0	35	Sports Tonight
0	15	Italian News
0	9	Kenneth Copeland
0	25	Japanese News
0	1	Station Close
0	36	National Nine News Sunday
0	47	Jake in Progress
0	1	Station Close
0	34	Russian News
0	33	National Nine Afternoon News
0	14	Lateline Business
0	27	Family Story
0	43	Bones
0	42	The Glass House
0	29	The Monkey Puzzle
0	45	dig tv presents
0	13	Mandarin News
0	3	Quizmania
0	39	Stateline WA
0	20	Engie Benjy
0	36	2030 CE
0	23	Arabic News
0	4	Home Shopping
0	27	Cantonese News
0	41	Grey's Anatomy
0	1	Station Close
0	34	Russian News
0	8	Creflo A. Dollar, Jr
0	30	Rafferty's Rules
0	17	Latin American News
0	17	Spanish News
0	33	Seven News
0	3	Britney & Kevin: Chaotic
0	10	rage
0	28	The Price of Victory
0	39	Media Watch
0	9	Kenneth Copeland
0	32	The Shak
0	19	Russian News
0	15	Australia Wide
0	37	World News Australia
0	25	Auntie Mame
0	31	Play School
0	17	Spanish News
0	45	German News
0	4	Account Rendered
0	4	Ordinary People
0	32	jtv XL: The Bravery: Live in France
0	18	French News
0	23	Adventures of Spot
0	25	Business Report
0	3	Video Hits Up-Late
0	47	Nightline
0	15	Totally Wild
0	36	Living Black
0	43	Rove Live
0	44	Amazing Medical Stories
0	4	Passions
0	14	Dora the Explorer
0	0	When Sex Goes Wrong
0	3	Top of the Form
0	14	Toasted TV
0	22	Stacked
0	0	Quizmania
0	36	The Tribe
0	22	Hungarian News
0	47	Arabic News
0	17	The Batman
0	23	Fourways Farm
0	3	Weatherwatch Overnight
0	9	UEFA Champions League
0	24	In the Line of Duty: Blaze of Glory
0	26	Molly's Gang
0	44	Ukrainian News
0	26	Oprah
0	38	Foreign Correspondent
0	36	Global Village
0	20	Count Us In
0	32	Toyota World Sport
0	30	Boohbah
0	9	Kenneth Copeland
0	29	Oswald
0	39	New Tricks
0	36	Off The Map
0	23	Angela Anaconda
0	20	Engie Benjy
0	36	Radio Free Roscoe
0	36	Global Village
0	19	Russian News
0	12	Tractor Tom
0	8	Creflo A. Dollar, Jr
0	12	Cantonese News
0	2	Parliament Question Time
0	42	Secrets of the Valley of the Kings
0	44	Scary Movie 2
0	16	Talking Heads
0	45	German News
0	29	Nick Gets the Knack
0	21	Seven Morning News
0	38	Toyota World Sport
0	22	Asia Pacific Focus
0	37	Great Comedy Classics
0	40	Italian News
0	22	Pocoyo
0	38	Everybody Loves Raymond
0	33	Words
0	42	The IT Crowd
0	32	Spanish News
0	43	World News Australia
0	25	Chilean News
0	10	Hour of Power
0	46	NYPD Blue
0	36	The Tribe
0	1	Station Close
0	33	The Fairly OddParents
0	44	At the Movies
0	14	Edgar & Ellen
0	15	Martin Morning
0	36	Seven News
0	45	Robert Harris
0	36	Message Stick
0	21	Greek News
0	11	This is Your Day
0	25	Japanese News
0	27	Spot's Musical Adventures
0	28	Ready Steady Cook
0	32	Jakers! The Adventures of Piggley Winks
0	40	My Name Is Earl
0	23	Inuk
0	29	Tales from a Suitcase
0	27	Cantonese News
0	28	The Young and the Restless
0	31	Huey's Cooking Adventures
0	35	Behind the News
0	16	Winx Club
0	13	Class of the Titans
0	24	Stateline VIC
0	34	A Town Called Panic
0	35	Japanese News
0	34	Antiques Roadshow
0	2	2LDK
0	14	Stanley
0	41	What a Year
0	28	Parliament Question Time
0	19	Russian News
0	38	Temptation
0	14	Italian News
0	37	Today Tonight
0	20	The Fimbles
0	46	Missing Persons Unit
0	37	A Current Affair
0	18	Le Journal
0	38	Greek News
0	16	The Einstein Factor
0	17	Spanish News
0	8	NBC Today
0	45	Studio 22
0	27	Spot's Musical Adventures
0	23	Inuk
0	42	South Park
0	29	Reba
0	47	The Glass House
0	9	Good Morning America
0	12	Sunrise
0	28	Welcher and Welcher
0	23	That's So Raven
0	22	Ten Morning News
0	18	Australian Story Classics
0	33	Atomic Betty
0	29	Stateline ACT
0	33	The Journal
0	38	Greek News
0	25	Play School
0	24	Midday Report
0	47	Four Corners
0	20	Maths 4 Real 2
0	30	Entertainment Tonight
0	20	Sons and Daughters
0	45	Lateline
0	34	Antiques Roadshow
0	38	Greek News
0	19	Archibald the Koala
0	12	Little Red Tractor
0	30	Gardening Australia
0	32	H2O: Just Add Water
0	8	Enjoying Everyday Life
0	17	Spanish News
0	24	Speed Machine
0	37	Neighbours
0	26	The World of Peter Rabbit and Friends
0	37	Stateline SA
0	32	UEFA Champions League Magazine
0	36	Message Stick
0	2	Good Game
0	13	Lateline
0	41	Chilean News
0	20	jtv XL: The Bravery: Live in France
0	43	Malena
0	4	Weatherwatch Overnight
0	26	Oprah
0	32	The Shak
0	31	Hi-5
0	23	Scrubs
0	26	Days of Our Lives
0	20	Sons and Daughters
0	39	Media Watch
0	16	Rage: New Releases
0	43	World News Australia
0	32	Sunday Arts
0	47	Wild Turkey Joker Poker
0	28	Parliament Question Time
0	43	NCIS
0	33	French News
0	38	Home and Away
0	35	Behind the News
0	18	Le Journal
0	15	The Shapies
0	14	Italian News
0	16	Toasted TV
0	36	National Nine News
0	36	A Town Called Panic
0	38	Home and Away
0	34	Radio Free Roscoe
0	17	In the Box
0	41	Storyline Australia
0	30	Gardening Australia
0	32	Totally Wild
0	47	Live at the Basement
0	13	Lateline
0	38	ABC News
0	37	Today Tonight
0	18	A Big Country Revisited
0	39	What's Good for You
0	27	Elmo's World
0	30	Bananas in Pyjamas
0	35	Deal Or No Deal
0	34	Ten News
0	36	Thalassa
0	24	Indonesian News
0	32	Spanish News
0	30	Rafferty's Rules
0	34	Australia Wide
0	39	Australian Idol Unplugged
0	33	Yakkity Yak
0	39	Insight
0	25	Business Report
0	14	Lateline Business
0	23	Arabic News
0	18	The Koala Brothers
0	16	German News
0	43	Filipino News
0	20	Ukrainian News
0	47	Arabic News
0	18	Insiders
0	38	ABC News
0	13	A.T.O.M.: Alpha Teens on Machines
0	39	Better Homes and Gardens
0	26	Days of Our Lives
0	45	Comedy Inc. The Late Shift
0	22	Pinky Dinky Doo
0	19	Russian News
0	36	Ukrainian News
0	31	School Torque
0	15	Old Tom
0	38	Futurama
0	37	A Current Affair
0	26	Gardening Australia
0	34	The Newshour with Jim Lehrer
0	12	Ten Early News
0	6	Guthy-Renker Australia
0	3	Video Hits Up-Late
0	33	Seven News
0	36	Ace Day Jobs
0	33	The Bold and the Beautiful
0	17	In the Box
0	35	Bert's Family Feud
0	19	Hot Auctions
0	39	Smallville
0	17	Spanish News
0	28	Mandarin News
0	44	VH1's ILL-ustrated
0	39	20 to 1
0	22	Monarchy
0	20	Rubbadubbers
0	34	Stateline NT
0	39	Getaway
0	28	Ready Steady Cook
0	43	The Biggest Loser
0	1	Midnight Zoo
0	22	Pocoyo
0	14	Mosaic: Eyes On The World
0	15	Totally Wild
0	35	Behind the News
0	25	Planet X Winter Games 06
0	14	Hungarian News
0	47	Arabic News
0	34	Ten News
0	42	Media Watch
0	11	This is Your Day
0	46	Spanish News
0	11	Rise and Shine
0	30	Pocoyo
0	16	Toasted TV
0	14	Teenage Mutant Ninja Turtles
0	47	Late Night Legends
0	30	Entertainment Tonight
0	14	Toasted TV
0	14	Hungarian News
0	38	Toyota World Sport
0	22	Lexmark Indy 300
0	31	Play School
0	24	Indonesian News
0	27	Strictly Dancing
0	36	Arabic News
0	18	Mornings with Kerri-Anne
0	13	Filipino News
0	34	Maltese News
0	2	Station Close
0	26	Insight
0	24	Pingu
0	4	Home Shopping
0	12	Radio Free Roscoe
0	13	The Fimbles
0	44	Artists At Work
0	6	Guthy-Renker Australia
0	19	Russian News
0	21	Designers
