#
# icon/channel logos for shepherd's logo logic
#

#
# THEME : theme name : theme description : preview (user) URL
#

THEME	standard	Standard Free-to-air logos	http://svn.whuffy.com/index.fcgi/wiki/channel_icons
ICON	Nine	frogman_green	http://ash.ms/projects/channels/download/icons-frogman-green/png/nine.png
ICON	Nine	frogman_hybrid	http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/nine.png
ICON	Nine	t8_blue		http://ash.ms/projects/channels/download/icons-t8-blue/png/nine.png
ICON	Nine	t8_hybrid	http://ash.ms/projects/channels/download/icons-t8-hybrid/png/nine.png
ICON	Nine	yourtv		http://contentserver.com.au/assets/270211_9.gif
ICON    Nine    schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/Nine.png

ICON	Nine HD	standard	http://imagestore.ugbox.net/thumb/nine_53151871dd779ac2304e05ce9b2.jpg
#ICON	Nine HD	tatey_blue	http://tatey.com/images/au_network_logos/nine-hd.png
ICON	Nine HD	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/nine-hd.png
ICON	Nine HD	frogman_blue	http://ash.ms/projects/channels/download/icons-frogman-blue/png/nine-hd.png
ICON	Nine HD	frogman_green	http://ash.ms/projects/channels/download/icons-frogman-green/png/nine-hd.png
ICON	Nine HD	frogman_hybrid	http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/nine-hd.png
ICON	Nine HD	t8_blue		http://ash.ms/projects/channels/download/icons-t8-blue/png/nine-hd.png
ICON	Nine HD	t8_hybrid	http://ash.ms/projects/channels/download/icons-t8-hybrid/png/nine-hd.png
ICON	Nine HD	yourtv		http://contentserver.com.au/assets/284327_ninehd_80x60.jpg
ICON    9HD schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/9HD.png

ICON	GEM	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/gem.png
ICON	GEM	frogman_blue	http://barstool.ash.ms/tv-channel-icons/icons-frogman-blue/png/gem.png
ICON	GEM	frogman_green	http://barstool.ash.ms/tv-channel-icons/icons-frogman-green/png/gem.png
ICON	GEM	t8_blue		http://barstool.ash.ms/tv-channel-icons/icons-t8-blue/png/gem.png
ICON	GEM	yourtv		http://contentserver.com.au/assets/284321_gem_logo_violet80x60.jpg
ICON    GEM schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/9GEM.png

ICON    GO!     frogman_plain   http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/go.png
ICON    GO!     frogman_blue    http://ash.ms/projects/channels/download/icons-frogman-blue/png/go.png
ICON    GO!     frogman_green   http://ash.ms/projects/channels/download/icons-frogman-green/png/go.png
ICON    GO!     frogman_hybrid  http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/go.png
ICON    GO!     t8_blue         http://ash.ms/projects/channels/download/icons-t8-blue/png/go.png
ICON    GO!     t8_hybrid       http://ash.ms/projects/channels/download/icons-t8-hybrid/png/go.png
ICON	GO!	yourtv		http://contentserver.com.au/assets/270213_go.gif
ICON    9Go! schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/9GO.png

ICON	TEN	standard	http://imagestore.ugbox.net/thumb/ten_953df6f5ce62f91c0068d5a3512f.jpg
ICON	TEN	lyngsat		http://www.lyngsat-logo.com/logo/tv/tt/ten_network.jpg
#ICON	TEN	tatey_blue	http://tatey.com/images/au_network_logos/ten.png
ICON	TEN	frogman_plain	http://barstool.ash.ms/tv-channel-icons/icons-plain-plain/png/ten.png
ICON	TEN	frogman_blue	http://ash.ms/projects/channels/download/icons-frogman-blue/png/ten.png
ICON	TEN	frogman_green	http://ash.ms/projects/channels/download/icons-frogman-green/png/ten.png
ICON	TEN	frogman_hybrid	http://ash.ms/projects/channels/download/icons-frogman-hybrid/png/ten.png
ICON	TEN	t8_blue		http://ash.ms/projects/channels/download/icons-t8-blue/png/ten.png
ICON	TEN	t8_hybrid	http://ash.ms/projects/channels/download/icons-t8-hybrid/png/ten.png
ICON	TEN	yourtv		http://contentserver.com.au/assets/270216_ten.gif
ICON    10  schmittyd-standard    https://raw.githubusercontent.com/schmittyd/tv-logos/master/Australia/standard/fta/10.png

ICON	TEN HD	standard	http://imagestore.ugbox.net/thumb/ten_953df6f5ce62f91c0068d5a3512f.jpg
ICON	TEN HD	lyngsat		http://www.lyngsat-logo.com/logo/tv/tt/ten_network_hd.jpg
#ICON	TEN HD	tatey_blue	http://tatey.com/images/au_network_logos/ten-hd.png
